location_id,observation_id,lat,lng,date,stage,type_count,type_id,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
1764646,43121,30.312322251173356,-97.72432882579243,2020-05-20,unripe fruit,1,93,8,species,Pecan,Carya illinoinensis,
1762703,42400,-41.434854,147.15662,2020-03-06,ripe fruit,1,69,8,species,Quince,Cydonia oblonga,"Cydonia, Cydonia vulgaris"
1762705,42401,27.793812,-82.650576,2020-03-07,unripe fruit,1,18,8,species,Loquat,Eriobotrya japonica,
1762706,42402,27.753815,-82.705272,2020-03-03,ripe fruit,1,18,8,species,Loquat,Eriobotrya japonica,
1762813,42434,47.09250320000002,8.522837300000008,2020-03-13,ripe fruit,1,542,8,species,Wild garlic,Allium ursinum,
1762846,42462,-28.233208407134406,153.5612836744363,2020-03-17,ripe fruit,1,458,8,species,Common guava,Psidium guajava,
1764886,43260,30.31426844551218,-97.71138516036633,2020-05-27,unripe fruit,1,56,6,genus,Prickly pear,Opuntia,
1762440,42225,-38.297855,146.10986,2020-01-19,ripe fruit,1,113,8,species,Cherry plum,Prunus cerasifera,Prunus pissardii
1762273,42111,37.358573892543994,-121.90201394696537,2019-12-27,unripe fruit,1,4,8,species,Lemon,Citrus x limon,
1762274,42112,37.35831139380359,-121.90153522372542,2019-12-27,ripe fruit,1,19,8,species,Kumquat,Citrus japonica,"Fortunella japonica, Citrus margarita, Fortunella margarita, Citrus obovata, Fortunella obovata"
1762278,42113,37.357395525121404,-121.89973475784282,2019-12-27,ripe fruit,1,4,8,species,Lemon,Citrus x limon,
1762279,42114,37.35699239972723,-121.90220099861516,2019-12-27,ripe fruit,1,4,8,species,Lemon,Citrus x limon,
1762515,42279,33.772689449955294,-118.15475352929752,2020-02-04,unripe fruit,2,1584,8,species,Clementine,Citrus x clementina,
1762515,42279,33.772689449955294,-118.15475352929752,2020-02-04,unripe fruit,2,4,8,species,Lemon,Citrus x limon,
1762280,42115,37.35696627914981,-121.90232433935849,2019-12-27,ripe fruit,1,3,8,species,Orange,Citrus x sinensis,
1762281,42116,37.358116981820565,-121.90285104293768,2019-12-27,ripe fruit,1,3,8,species,Orange,Citrus x sinensis,
1765043,43358,30.308335843552086,-97.71751607295602,2020-05-31,unripe fruit,1,93,8,species,Pecan,Carya illinoinensis,
1765044,43359,30.308469418423087,-97.71777271893802,2020-05-31,unripe fruit,1,93,8,species,Pecan,Carya illinoinensis,
1765046,43360,30.30807843511294,-97.71929822174488,2020-05-31,flower,1,554,6,genus,Mallow,Malva,
1721649,37066,35.74723653897064,-85.45085927530738,2018-07-03,unripe fruit,1,4007,8,species,Sawtooth blackberry,Rubus argutus,
1762847,42463,33.123028,-117.066323,2020-03-17,ripe fruit,2,5071,7,multispecies,Orange,Citrus,
1762847,42463,33.123028,-117.066323,2020-03-17,ripe fruit,2,5097,7,multispecies,Lemon,Citrus,
1762914,42508,37.968904,-122.541201,2020-03-24,ripe fruit,1,3,8,species,Orange,Citrus x sinensis,
1764605,43095,39.441064,-121.545385,2020-05-18,unripe fruit,1,62,7,multispecies,Cherry,Prunus,
1757999,43109,-31.890433119350373,115.81505304729205,2020-05-19,unripe fruit,1,78,8,species,Passionfruit,Passiflora edulis,
1757999,40176,-31.890433119350373,115.81505304729205,2019-07-01,unripe fruit,1,78,8,species,Passionfruit,Passiflora edulis,
1764603,43092,-36.871935,174.756136,2020-05-18,ripe fruit,1,5071,7,multispecies,Orange,Citrus,
1762993,42570,30.353916,-97.611588,2020-03-31,flower,1,13,8,species,Pomegranate,Punica granatum,
1762997,42574,30.312923763269467,-97.71693444424353,2020-04-01,unripe fruit,1,92,6,genus,Mulberry,Morus,
1754887,38312,37.296996,-121.897783,2018-09-29,unripe fruit,1,49,8,species,Feijoa,Acca sellowiana,Feijoa sellowiana
1762302,42130,29.701355,-95.791769,2019-12-30,ripe fruit,1,3,8,species,Orange,Citrus x sinensis,
1762314,42140,14.619256985814213,-60.94074188822901,2019-12-31,unripe fruit,1,537,8,species,Breadfruit,Artocarpus altilis,
1762316,42142,37.35574165896146,-121.90308234893851,2020-01-01,ripe fruit,1,19,8,species,Kumquat,Citrus japonica,"Fortunella japonica, Citrus margarita, Fortunella margarita, Citrus obovata, Fortunella obovata"
1762317,42143,37.3556091747881,-121.89905331932185,2020-01-01,ripe fruit,1,4,8,species,Lemon,Citrus x limon,
1762318,42144,37.356233517142016,-121.89951276277013,2020-01-01,ripe fruit,1,4,8,species,Lemon,Citrus x limon,
1762319,42145,37.35651431863654,-121.89972066017287,2020-01-01,ripe fruit,1,3,8,species,Orange,Citrus x sinensis,
1762321,42147,37.35728486103858,-121.89931169924708,2020-01-01,ripe fruit,1,23,8,species,Mandarin,Citrus reticulata,
